State,District,Latitude,Longitude,Crop,Season,Year,Sowing_date,Harvest_date,Area_ha,Production_tonnes,Yield_t_per_ha,Rainfall_mm,Avg_Temperature_C,Humidity_%,Solar_Radiation_MJ_m2_day,Soil_pH,Soil_N_percent,Soil_P_ppm,Soil_K_ppm,Soil_organic_percent,Fertilizer_kg_per_ha,Irrigation_type,Irrigation_mm,NDVI,EVI,Pesticide_used,Previous_crop
Punjab,Punjab_Dist_2,15.888,78.624,Sugarcane,Kharif,2013,2013-07-01,2013-10-03,23.963,1921.937,80.204,333.0,26.28,64.2,23.05,6.15,0.105,21.73,300.4,2.44,68.5,Rainfed,0.0,0.5932722540475663,0.42890152330957726,0,Wheat
Punjab,Punjab_Dist_14,26.474,80.764,Cotton,Zaid,2019,2019-03-19,2019-06-15,30.947,21.279,0.688,55.0,27.39,98.4,19.97,6.57,0.101,8.58,478.53,4.85,69.1,Rainfed,0.0,0.2731373074947044,0.24693304062716268,0,Soybean
Karnataka,Karnataka_Dist_1,10.389,73.684,Maize,Zaid,2016,2016-04-03,2016-06-08,7.008,37.987,5.421,59.0,24.98,56.6,19.95,5.74,0.206,35.07,157.64,4.86,165.5,Rainfed,0.0,0.4622819158026932,0.3962783638106129,0,Maize
Madhya Pradesh,Madhya Pradesh_Dist_7,28.824,70.147,Soybean,Rabi,2019,2019-10-03,2020-02-28,2.814,3.27,1.162,69.0,18.67,71.6,15.31,5.69,0.213,12.75,416.92,0.84,47.2,Rainfed,0.0,0.31200613973565194,0.2762373655763223,0,Millet
Tamil Nadu,Tamil Nadu_Dist_19,21.332,83.159,Soybean,Zaid,2013,2013-04-28,2013-07-02,22.695,52.058,2.294,20.0,29.4,57.3,15.95,7.21,0.241,53.8,278.33,1.04,46.1,Drip,485.3,0.5463997802754207,0.48326092121431563,0,Maize
Bihar,Bihar_Dist_7,29.699,73.411,Millet,Rabi,2017,2017-11-07,2018-04-01,28.391,54.24,1.91,157.0,23.8,61.4,8.06,6.37,0.173,46.56,176.1,0.85,121.4,Drip,315.9,0.6880124165762402,0.585155532848953,1,Rice
Karnataka,Karnataka_Dist_5,11.236,77.791,Maize,Zaid,2021,2021-04-21,2021-08-18,112.041,383.658,3.424,135.0,25.7,55.4,21.37,6.35,0.178,49.99,441.51,0.53,77.9,Rainfed,0.0,0.25559119762182647,0.21483849641412417,1,Soybean
Tamil Nadu,Tamil Nadu_Dist_15,21.215,96.584,Soybean,Kharif,2013,2013-07-07,2013-10-13,143.656,357.621,2.489,532.0,16.91,45.9,25.02,6.49,0.14,20.67,95.49,3.24,0.0,Sprinkler,551.3,0.9499619517609439,0.7690159816787635,1,Soybean
West Bengal,West Bengal_Dist_21,23.954,87.649,Cotton,Zaid,2017,2017-04-08,2017-06-15,14.357,10.172,0.708,126.0,28.01,71.9,13.45,7.34,0.24,34.47,117.92,4.26,15.9,Rainfed,0.0,0.23772318374346552,0.1731896151066893,1,Rice
Tamil Nadu,Tamil Nadu_Dist_35,22.99,83.36,Sugarcane,Zaid,2019,2019-03-17,2019-05-24,1.336,141.708,106.069,18.0,25.27,44.1,20.37,5.95,0.331,12.56,223.25,1.01,193.0,Rainfed,0.0,0.4963758608684835,0.36017475920176817,1,Cotton
Rajasthan,Rajasthan_Dist_6,10.74,87.242,Wheat,Kharif,2012,2012-07-20,2012-12-05,14.344,80.175,5.589,539.0,28.13,41.4,11.4,6.81,0.316,47.89,349.65,0.88,117.8,Drip,264.7,0.95,0.7854220429772991,1,Wheat
Rajasthan,Rajasthan_Dist_34,17.928,75.691,Sugarcane,Zaid,2023,2023-04-10,2023-06-16,0.754,113.1,150.0,87.0,20.13,75.7,24.63,6.94,0.121,22.9,393.53,3.42,42.7,Groundwater,786.9,0.8055930079997244,0.701378195879398,0,Pulses
Madhya Pradesh,Madhya Pradesh_Dist_11,33.392,95.664,Pulses,Kharif,2021,2021-06-27,2021-11-02,14.485,24.577,1.697,488.0,26.36,64.2,22.14,6.51,0.223,32.09,162.0,3.75,187.2,Sprinkler,440.4,0.95,0.7558818454870655,1,Rice
Tamil Nadu,Tamil Nadu_Dist_39,34.731,72.062,Cotton,Kharif,2015,2015-07-04,2015-10-04,123.675,314.277,2.541,481.0,27.96,53.2,21.89,7.13,0.145,14.32,313.86,4.71,79.5,Sprinkler,648.0,0.95,0.7646117531783658,0,Cotton
Andhra Pradesh,Andhra Pradesh_Dist_20,26.953,91.078,Cotton,Kharif,2013,2013-07-25,2013-10-31,37.025,102.135,2.759,554.0,27.24,76.2,23.27,5.67,0.293,49.56,444.17,4.61,43.7,Sprinkler,555.7,0.95,0.7602191911822189,0,Wheat
Tamil Nadu,Tamil Nadu_Dist_9,22.101,90.33,Maize,Zaid,2017,2017-04-18,2017-06-30,110.866,509.468,4.595,34.0,19.0,62.5,13.72,6.48,0.213,20.76,328.15,0.64,67.9,Groundwater,178.0,0.3656534067105283,0.32519124327744364,0,Pulses
Bihar,Bihar_Dist_20,10.118,68.735,Millet,Zaid,2020,2020-03-03,2020-05-16,12.656,12.198,0.964,51.0,25.87,60.7,14.74,7.79,0.268,58.67,296.85,1.95,138.0,Rainfed,0.0,0.36981067676158064,0.32142154145315127,1,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_2,14.689,78.323,Cotton,Zaid,2013,2013-03-02,2013-06-27,164.869,169.919,1.031,100.0,28.46,42.0,16.33,6.22,0.215,44.3,357.28,1.76,60.8,Rainfed,0.0,0.43730780985063167,0.3808202056970397,0,Maize
Andhra Pradesh,Andhra Pradesh_Dist_5,21.585,92.838,Cotton,Rabi,2020,2020-10-16,2021-05-04,71.409,150.254,2.104,186.0,28.1,46.1,17.7,4.56,0.102,28.86,247.37,3.27,38.5,Canal,708.1,0.7935893926730145,0.6209015710007753,0,Millet
Madhya Pradesh,Madhya Pradesh_Dist_13,13.286,70.011,Rice,Kharif,2020,2020-07-22,2020-10-26,54.249,369.217,6.806,470.0,25.24,69.7,18.63,5.36,0.243,30.2,309.16,4.74,176.8,Rainfed,0.0,0.8601663570051717,0.6848781489472321,1,Soybean
Punjab,Punjab_Dist_4,29.785,96.725,Millet,Zaid,2015,2015-03-18,2015-05-29,5.811,14.959,2.574,61.0,25.83,73.3,15.68,6.13,0.259,39.59,448.54,3.81,78.7,Sprinkler,701.7,0.7025202494538965,0.5452107683572082,0,Maize
Rajasthan,Rajasthan_Dist_9,18.508,68.314,Millet,Kharif,2014,2014-06-21,2014-09-25,27.104,85.254,3.145,692.0,22.63,68.2,16.99,6.37,0.275,46.5,123.31,4.56,165.9,Canal,604.2,0.95,0.7884742896334299,0,Millet
Tamil Nadu,Tamil Nadu_Dist_1,19.921,93.743,Rice,Kharif,2012,2012-07-06,2012-10-11,118.395,554.766,4.686,459.0,22.55,88.7,23.33,5.42,0.149,41.99,396.0,4.06,73.2,Rainfed,0.0,0.637942671095404,0.510089625488949,1,Maize
Madhya Pradesh,Madhya Pradesh_Dist_1,23.077,80.302,Millet,Rabi,2022,2022-11-07,2023-03-06,22.11,45.616,2.063,199.0,30.43,53.5,19.02,6.84,0.074,9.67,494.39,2.18,152.4,Sprinkler,485.3,0.8129577889373781,0.6439628165985471,1,Soybean
Karnataka,Karnataka_Dist_14,8.328,96.126,Wheat,Zaid,2021,2021-03-16,2021-06-21,118.912,729.615,6.136,79.0,20.99,59.7,16.56,6.69,0.274,37.09,484.11,2.19,50.4,Canal,428.6,0.5366999381684416,0.4430902441676185,1,Fallow
Tamil Nadu,Tamil Nadu_Dist_34,15.489,73.456,Maize,Kharif,2018,2018-06-13,2018-10-11,2.706,18.034,6.664,510.0,28.93,67.1,18.27,7.87,0.259,30.0,343.57,3.13,124.4,Rainfed,0.0,0.7900534032185245,0.6613319963692528,0,Wheat
Punjab,Punjab_Dist_37,33.184,93.116,Cotton,Zaid,2019,2019-04-09,2019-08-06,31.653,31.852,1.006,121.0,17.76,31.3,19.81,6.84,0.099,55.1,425.47,4.77,158.2,Rainfed,0.0,0.5332981508264732,0.4709382794240675,0,Soybean
Bihar,Bihar_Dist_21,29.948,96.992,Cotton,Rabi,2016,2016-11-03,2017-05-18,2.814,3.572,1.269,144.0,23.87,64.4,12.51,6.7,0.303,51.11,276.85,2.37,94.8,Rainfed,0.0,0.41636856679555717,0.3314303046875155,1,Millet
Maharashtra,Maharashtra_Dist_30,22.044,92.713,Rice,Kharif,2018,2018-07-08,2018-10-14,285.244,2036.273,7.139,727.0,26.25,55.3,10.0,5.68,0.252,39.0,230.43,1.01,132.1,Rainfed,0.0,0.95,0.8214219676339072,1,Rice
